nuts,April Days With High Fire Danger (days) ensemble median - RCP4.5 - (2041 - 2070)
DE50,0.0
DE60,0.04669380187988281
DE71,0.03275783161322276
DE72,0.006066398074229558
DE73,0.01430724027256171
DE80,0.012752830795943738
DE91,0.013425940088927746
BG41,0.04797329334542155
BG42,0.10969579483692844
CH01,0.0049172927935918175
AT32,0.036860984377563
AT33,0.018323928086707988
AT34,0.0070079139123360315
BE10,0.08331133524576823
BE23,0.05830006425579389
BE24,0.048350730414191884
BE25,0.04904555541773637
BE31,0.04870450993378957
BE32,0.037329580262303354
BE33,0.019524236768484117
BE34,0.005375285198291143
BE35,0.017191466689109803
BG31,0.23325916640460492
BG32,0.09152953972419103
BG33,0.043224807580312094
BG34,0.09715600209310651
DE92,0.011064981793363888
DE93,0.04204556159675121
DE94,0.07813255041837693
CZ07,0.04581225259850422
CZ08,0.013354618599017461
AL01,0.005228609095017115
AL02,0.07838376263777415
AL03,0.09836364071816206
AT11,0.19698668097456296
AT12,0.09290924463421106
AT13,0.19983971118927002
AT21,0.003070162485043208
AT22,0.038764928560703994
AT31,0.028985170212884746
DK05,0.0
BE21,0.06961467849711576
BE22,0.03933436671892802
ES43,2.3851534565289816
ES51,1.8212660504194598
ES52,5.260552401840687
ES53,0.866956502944231
ES61,3.136016661922137
ES62,7.953294773896535
ES63,0.0
ES64,0.0
CH02,0.003438388059536616
CH03,0.0015164437393347422
CH04,0.0
CH05,0.005751874049504598
CH06,0.0024565038581689197
CH07,0.013721688588460287
CY00,7.285247810681661
CZ01,0.03333333333333333
CZ02,0.02801700389633576
CZ03,0.018672755050162474
CZ04,0.0414355194196105
CZ05,0.018420988072951634
CZ06,0.09260054528713227
DE40,0.04218967215468486
EL53,0.15706804947306713
EL54,0.030858183527986208
EL61,0.20313292033970357
EL62,0.0
EL63,0.16751636589566868
ES70,0.0
ITC1,0.06249190128097932
ITC2,0.004362537836035092
DE11,0.04084231598923604
DE12,0.02269644836584727
DE13,0.012263783688346545
DE14,0.009667738278706869
DE21,0.04356202402462562
DE22,0.057205900984505814
DE23,0.05974408922096094
DE24,0.026721753180027008
DE25,0.06750407398988803
DE26,0.030346797282497086
DE27,0.0335354033857584
DE30,0.03754523197809855
EL42,0.7
LV00,0.0025771998489896456
ME00,0.013060956448316573
MK00,0.2865943967675169
MT00,0.0
NL11,0.08466558183232943
NL12,0.045804356783628465
EL64,0.8112510986626148
EL65,0.7303726063420375
ES11,0.08311039758846164
ES12,0.042113590302566686
ES13,0.06411653260389964
ES21,0.07278618247558673
ES22,0.8238658840457599
ES23,0.6193317945425709
ES24,3.5775937994321185
ES30,2.142776423195998
IE05,0.003019926945368449
IE06,0.000441863884528478
IS00,0.0
ITC3,0.016595140347878137
FI19,0.03213823787712802
FI1B,0.0
FI1C,0.016239654117574293
DEA1,0.019415668646494546
DEA2,0.015594365323583286
DEA3,0.040331337104241055
DEA4,0.0318344846367836
DEA5,0.02951061204075813
DEB1,0.012611967821915945
DEB2,0.0051782449086507166
DEB3,0.018409331887960435
DEC0,0.007954895496368408
DED2,0.008639296082158883
DED4,0.013231537553171318
DED5,0.00614948570728302
DEE0,0.015177724199990432
DEF0,0.025798954566319785
DEG0,0.008919256522009771
DK01,0.022245646019776664
DK02,0.003669140487909317
DK03,0.0223774512608846
DK04,0.008981324235598246
ES41,1.0716940716529886
ES42,3.2794475867412984
HU23,0.0973729650179545
HU31,0.24320704415440558
HU32,0.30053650407741467
HU33,0.27116695990165074
IE04,0.0003211753442883492
EE00,0.0
EL30,3.5462408875425657
EL41,0.43333333333333335
EL43,3.776991414527098
EL51,0.09884802090624968
EL52,0.1552760979781548
FI20,0.0
FR10,0.06151643544435501
FRB0,0.10642237054804961
FRC1,0.054114958333472414
FRC2,0.041358895351489386
FRD1,0.10037619772677621
FRD2,0.07004430846621593
FRE1,0.0578457560390234
FRE2,0.04883791605631511
FRF1,0.014352598289648692
NL13,0.08333104898532231
NL21,0.04057901414732138
NL22,0.0566644291083018
NL23,0.07054316699504852
NL31,0.0916283905506134
NL32,0.050186068813006086
ITG2,0.5925643973673383
ITH1,0.0021739495297273
ITH2,0.004672901332378387
FRI3,0.175290702500691
FRJ1,0.7095379241431753
FRJ2,0.1543306829718252
FRK1,0.1316218743721644
FRK2,0.12165053339364627
FRL0,0.7551705312604705
FRM0,0.03185744384924571
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.7188281814257304
TR32,1.7820897320906322
TR33,1.7007482271951935
HR03,0.012495729451378187
HR02,0.05779029143353303
HU11,0.2833772639433543
HU12,0.263224756034712
HU21,0.1677958110968272
HU22,0.22155005633831024
PT16,1.1200552451734742
PT17,2.206003949046135
FRF2,0.04976091145848235
FRF3,0.03219926434879502
FRG0,0.1511702090036124
FRH0,0.13339323022713265
FRI1,0.16983000778903565
FRI2,0.1773099135607481
ITC4,0.10351944233601292
ITF1,0.011141315909723441
ITF2,0.12449540955324968
ITF3,0.02409620905915896
ITF4,0.7528252645085255
ITF5,0.3444652819385131
ITF6,0.05939898143212
ITG1,1.8637229114150007
LT01,0.0004669260854522387
LT02,0.013017493726996085
LU00,0.001678295930226644
PL22,0.04022110803052783
PL41,0.12793035497888922
PL42,0.023931790826221308
PT18,3.0082934017603598
PT20,0.0
PT30,0.0
RO11,0.04080858863890171
RO12,0.022597084660083054
RO21,0.043946569537123045
RO22,0.13036026707850396
RO31,0.10503719650829832
RO32,0.10213303764661154
ITH3,0.04656370862697561
ITH4,0.0053357009465495745
ITH5,0.12747496673837305
ITI1,0.00872682308157285
ITI2,0.004447882560392221
ITI3,0.0053768167893091835
ITI4,0.0023910134409864743
LI00,0.0
FI1D,0.015019595366902649
TR82,0.3519837552992006
TR83,0.3783764265322437
TR90,0.012247366784140467
TRA1,0.09549923924108346
TRA2,0.0
PL43,0.058498910752435525
PL51,0.05596231973419587
PL52,0.05825675403078397
PL61,0.11587068581332763
PL62,0.06230176772611837
PL63,0.07791039505973459
PL71,0.16339196373398104
PL72,0.06708656127254169
PL81,0.055105150553087394
PL82,0.024601709842681885
PL84,0.05160962287336588
PL91,0.09578853038450082
PL92,0.08603546830515067
PT11,0.21640156023204327
PT15,3.704446420073509
TRB1,0.7989165277065088
TRB2,0.3502763013044993
TRC1,2.992998077347875
RS12,0.383113548407952
RS21,0.1237056231747071
RS22,0.16962728158881266
SE11,0.0
SE12,0.009389635066812237
NL33,0.05774968812863032
NL34,0.055582137405872346
NL41,0.05340188133219878
NL42,0.030279985070228575
PL21,0.021736709804584583
UKM6,0.0
TR22,0.47005072627216576
TRC2,4.451535702232892
TRC3,4.48824745255212
UKC1,0.003936934719483058
UKC2,0.007333297034104665
UKD1,0.0009242999056975047
UKD3,0.003335275004307429
UKD4,0.0
UKD6,0.0019597961256901425
UKD7,0.0
UKE1,0.020922648906707763
UKE2,0.010178060084581376
UKE3,0.031088354190190633
RO41,0.21519195809960365
RO42,0.09290134020460149
RS11,0.40707299709320066
TR41,1.4418552491193017
TR42,0.12217415965472658
TR51,1.9469559445977211
TR52,3.2874792736023664
TR61,0.898830266079555
TR62,0.7343522775918245
TR63,1.4594510642190774
TR71,2.507096344077339
TR72,0.8308313309991111
TR81,0.019285639623800914
UKK1,0.007318797707557678
UKK2,0.011559812227884929
UKK3,0.006045530984799067
UKK4,0.0
UKL1,0.0
UKL2,0.0
UKM5,0.003043473760286967
UKM7,0.0028403387715419132
UKM8,0.0
UKM9,0.001380409672856331
UKN0,0.000624132218460242
SE21,0.06252238410525024
SE22,0.03196939422438542
SE23,0.021198860773195823
SE31,0.09705531350336968
SE32,0.05539570758895328
SE33,0.0435986737604253
SI03,0.011176586337387561
SI04,0.002224780060350895
SK01,0.3905220597982407
SK02,0.1617020311454932
SK03,0.04700283867617448
SK04,0.04622220741584897
TR10,0.09777314712603886
TR21,0.2726599947549403
UKE4,0.022226579238971075
UKF1,0.01758354703585307
UKF2,0.02405213173478842
UKF3,0.024008831630150478
UKG1,0.001578499749302864
UKG2,0.002364904806017876
UKG3,0.00741317222515742
UKH1,0.03458434455096722
UKH2,0.051722911869486174
UKH3,0.04734496685365836
UKI3,0.0667116403579712
UKI4,0.05004505316416422
UKI5,0.07144327064355215
UKI6,0.12225207090377807
UKI7,0.04169202248255412
UKJ1,0.015371912966171901
UKJ2,0.08930937051773072
UKJ3,0.06193387558062871
UKJ4,0.059546128908793135
NO09,0.009861562758063276
NO0A,0.0010204169899225234
NO0B,0.0
HR05,0.0
HR06,0.03256921395659447
NO02,0.05472720833495259
NO06,0.0027021910374363262
NO07,0.0008746092983831962
NO08,0.038121708451459804
